item_id,item_feedback,correction
c30,"Prinzipiell ja, nur ein Problem der Messbarkeit/Messung",FALSE
c04,"... zusammen mit Wettbewerbsregulierungen und höhere Anforderungen in der internationalen Rechnungslegung (Transparenz)",FALSE
c50,"In der Gesellschaft, wie sie gerade ist, ist tatsächlich das Vermögen der Schlüssel zur Macht nur muss das nicht unbedingt ausgelöbt werden ('potentielle Macht') daher neutral",FALSE
c40,"... und gleichzeitig Anreize zur Verbesserung des Allgemeinwohls schafft (*private* Initiativen)",FALSE
c05,"Das ist nur eine/zwei mögliche Antwort, daher müssen m.E. unterschiedliche Perspektiven mit einbezogen werden (langfristige Konsequenzen beim Austausch der Sache, z.B. Aktien [?]",FALSE
c08,"Das ist nur eine/zwei mögliche Antwort, daher müssen m.E. unterschiedliche Perspektiven mit einbezogen werden (langfristige Konsequenzen beim Austausch der Sache, z.B. Aktien [?]",FALSE
c39,"Ja, jedoch in Verbindung mit Quoten, Regulierungen",FALSE
c18,"Abgaben für Krankenversicherung ≠ Steuern, denn Verfolgbarkeit der Abgabe vorhanden, daher neutral",FALSE
c60,"Grundsätzlich ja, aber oft nur einseitig und ohne Berücksichtigung des Gemeinschaftlichen Wohls, daher paternalistische Intervention des Staates, wenn demokratische geführt, benötigt",FALSE
c66,"... solange es sich um vererbtes Wohneigentum handelt für dessen Kauf bereits keine Steuern bezahlt werden. Egal, ob die Vorfahren diese Steuern entrichtet haben",FALSE
c76,"Das muss aber auch den Bürgern klar werden, in dem sie auch die aus diesem Eigentum getätigte staatliche Abgaben mibestimmen können",FALSE
c59,"Das wissen selbst ist ein 'Gut' an sich, das uns *evtl.* zu kommerziellen Anwendungen bewegt",FALSE
c58,"Eher Aufgabe der Ausgaben/Subventionen?",FALSE
c63,"Sozialpolitik -> dadurch Vereinfachung des Steuersystems",FALSE
